log_date,reg,depot,vehicle_type,status,utilised,drops_in,drops_out,job_reference,route,start_time,end_time,drivers_mate
2026-09-17,SA25KHM,Coventry,3.5 Tonne,Out for Delivery,1,4,21,AO328320,176,07:00,17:20,
2026-09-17,SA25GSY,Coventry,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA25XLB,Coventry,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA19OVF,Coventry,3.5 Tonne,Out for Delivery,1,3,9,AO807603,104,05:30,13:05,
2026-09-17,SA20FYM,Coventry,Hi-Cube,Out for Delivery,1,1,15,AO361501,157,07:00,15:05,Sample Mate 036
2026-09-17,SA23YCJ,Coventry,Hi-Cube,Out for Delivery,1,1,10,AO876079,135,07:45,14:35,Sample Mate 045
2026-09-17,SA25XHM,Potters-Bar,Hi-Cube,Out for Delivery,1,0,12,AO492133,165,05:30,16:20,Sample Mate 005
2026-09-17,SA21PDJ,Potters-Bar,3.5 Tonne,Out for Delivery,1,4,15,AO121880,126,06:00,13:05,Sample Mate 107
2026-09-17,SA22YAV,Potters-Bar,3.5 Tonne,VOR,0,0,0,,,,,
2026-09-17,SA24THH,Potters-Bar,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA23LVT,Potters-Bar,3.5 Tonne,Out for Delivery,1,0,16,AO187190,124,07:00,18:50,
2026-09-17,SA19KZK,Potters-Bar,3.5 Tonne,Out for Delivery,1,3,8,AO556864,150,06:00,16:20,
2026-09-17,SA25AEV,Potters-Bar,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA23ZPM,Potters-Bar,3.5 Tonne,Out for Delivery,1,3,11,AO684069,124,06:45,13:05,
2026-09-17,SA19ACC,Potters-Bar,Hi-Cube,RELOAD PT 2,1,2,20,AO277899,159,05:45,13:05,
2026-09-17,SA22NVA,Potters-Bar,Hi-Cube,Stood,0,0,0,,,,,
2026-09-17,SA20DXH,Potters-Bar,Hi-Cube,Out for Delivery,1,2,9,AO615105,169,05:15,13:35,
2026-09-17,SA24UHX,Gravesend,3.5 Tonne,Out for Delivery,1,2,18,AO978533,132,06:30,14:05,Sample Mate 112
2026-09-17,SA22LMX,Gravesend,3.5 Tonne,VOR,0,0,0,,,,,
2026-09-17,SA19XZP,Gravesend,3.5 Tonne,Out for Delivery,1,3,9,AO263774,115,06:00,17:20,
2026-09-17,SA24FRA,Gravesend,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA20OTF,Gravesend,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA25PHP,Gravesend,3.5 Tonne,Out for Delivery,1,1,10,AO102358,168,05:00,14:35,Sample Mate 109
2026-09-17,SA19PHZ,Gravesend,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA24MXA,Gravesend,Hi-Cube,RELOAD PT 2,1,0,11,AO347658,181,07:45,15:20,
2026-09-17,SA21YAK,Gravesend,Hi-Cube,Out for Delivery,1,1,15,AO145794,130,05:30,13:05,Sample Mate 060
2026-09-17,SA21SAN,Gravesend,Hi-Cube,RELOAD PT 2,1,3,15,AO502319,185,05:15,14:50,Sample Mate 092
2026-09-17,SA19MMF,Gravesend,3.5 Tonne,Out for Delivery,1,1,12,AO456887,141,05:00,14:20,Sample Mate 038
2026-09-17,SA25CYG,Yaxley,3.5 Tonne,Out for Delivery,1,0,15,AO669689,150,08:15,15:50,
2026-09-17,SA19RBJ,Yaxley,3.5 Tonne,Out for Delivery,1,2,8,AO398117,125,05:30,13:50,
2026-09-17,SA23OLT,Yaxley,3.5 Tonne,Out for Delivery,1,2,21,AO582353,196,06:30,16:35,Sample Mate 050
2026-09-17,SA21RES,Yaxley,3.5 Tonne,Out for Delivery,1,2,15,AO223445,167,05:00,14:05,Sample Mate 114
2026-09-17,SA25DNN,Yaxley,3.5 Tonne,Out for Delivery,1,4,17,AO581555,172,06:00,16:50,
2026-09-17,SA20SHU,Yaxley,3.5 Tonne,Stood,0,0,0,,,,,
2026-09-17,SA19BBM,Yaxley,Hi-Cube,Out for Delivery,1,0,10,AO755843,175,08:45,15:20,Sample Mate 028
2026-09-17,SA25GYJ,Yaxley,Hi-Cube,Out for Delivery,1,2,13,AO769647,168,05:00,14:50,
2026-09-17,SA24WTN,Yaxley,Hi-Cube,Out for Delivery,1,0,9,AO335024,116,07:15,14:35,Sample Mate 021
2026-09-17,SA24TKC,Yaxley,3.5 Tonne,Out for Delivery,1,1,22,AO782768,119,08:30,19:20,
2026-09-17,SA25PNC,Luton,3.5 Tonne,Out for Delivery,1,3,11,AO499339,138,06:15,16:50,
2026-09-17,SA24VEA,Luton,3.5 Tonne,VOR,0,0,0,,,,,
2026-09-17,SA25DWU,Luton,3.5 Tonne,Out for Delivery,1,3,17,AO453243,164,05:00,14:35,
2026-09-17,SA21COD,Luton,3.5 Tonne,Stood,0,0,0,,,,,
2026-09-17,SA23JZM,Luton,3.5 Tonne,Out for Delivery,1,0,9,AO557650,187,06:30,13:35,
2026-09-17,SA24WRX,Luton,3.5 Tonne,RELOAD PT 2,1,4,22,AO366662,129,05:45,13:35,
2026-09-17,SA24YRO,Luton,Hi-Cube,Out for Delivery,1,4,11,AO582198,159,06:15,14:05,
2026-09-17,SA24JAR,Luton,Hi-Cube,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA21ZOF,Luton,Hi-Cube,Out for Delivery,1,2,15,AO631263,112,06:45,16:50,
2026-09-17,SA22UKH,Luton,3.5 Tonne,RELOAD PT 2,1,4,11,AO334408,186,06:45,17:50,Sample Mate 073
2026-09-17,SA24UPH,Newport,3.5 Tonne,Out for Delivery,1,2,18,AO788764,172,08:00,19:05,Sample Mate 090
2026-09-17,SA20JBR,Newport,3.5 Tonne,Stood,0,0,0,,,,,
2026-09-17,SA21HEE,Newport,3.5 Tonne,VOR,0,0,0,,,,,
2026-09-17,SA22DKA,Newport,3.5 Tonne,Out for Delivery,1,0,13,AO137596,144,06:15,16:50,
2026-09-17,SA23RTM,Newport,3.5 Tonne,Out for Delivery,1,4,19,AO675229,167,08:15,18:35,Sample Mate 026
2026-09-17,SA21ZWR,Newport,3.5 Tonne,VOR,0,0,0,,,,,
2026-09-17,SA25PPX,Newport,Hi-Cube,Stood,0,0,0,,,,,
2026-09-17,SA25EXC,Newport,Hi-Cube,Out for Delivery,1,3,18,AO588253,127,05:15,13:50,
2026-09-17,SA22CFE,Newport,Hi-Cube,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA25XMM,Newport,3.5 Tonne,VOR,0,0,0,,,,,
2026-09-17,SA24NGE,Spennymoor,3.5 Tonne,Out for Delivery,1,4,19,AO274161,118,06:30,15:35,
2026-09-17,SA23LNH,Spennymoor,3.5 Tonne,Out for Delivery,1,2,18,AO704125,123,06:30,13:35,Sample Mate 015
2026-09-17,SA19BPJ,Spennymoor,3.5 Tonne,Out for Delivery,1,1,10,AO519207,109,07:30,17:50,
2026-09-17,SA25ZKJ,Spennymoor,3.5 Tonne,Out for Delivery,1,0,21,AO591813,120,08:30,17:20,
2026-09-17,SA20WKR,Spennymoor,3.5 Tonne,Out for Delivery,1,2,13,AO119324,125,07:00,15:05,
2026-09-17,SA23OJS,Spennymoor,3.5 Tonne,Stood,0,0,0,,,,,
2026-09-17,SA25EED,Spennymoor,Hi-Cube,Out for Delivery,1,2,15,AO386564,126,06:00,13:05,Sample Mate 037
2026-09-17,SA22SNJ,Spennymoor,Hi-Cube,Out for Delivery,1,3,16,AO996629,109,06:15,17:50,Sample Mate 088
2026-09-17,SA23ELF,Spennymoor,Hi-Cube,Out for Delivery,1,3,15,AO810968,174,08:00,17:35,Sample Mate 074
2026-09-17,SA22YHZ,Spennymoor,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA21GKN,Dundee,3.5 Tonne,Out for Delivery,1,1,18,AO737446,137,08:00,15:35,
2026-09-17,SA25EAJ,Dundee,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA19JDA,Dundee,3.5 Tonne,Out for Delivery,1,0,10,AO700844,151,08:15,17:20,
2026-09-17,SA22ROJ,Dundee,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA22DKF,Dundee,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA21BZA,Dundee,3.5 Tonne,Out for Delivery,1,2,11,AO609150,179,08:30,17:35,
2026-09-17,SA23RHZ,Dundee,Hi-Cube,Out for Delivery,1,4,21,AO136223,166,07:15,14:35,Sample Mate 082
2026-09-17,SA24HUJ,Dundee,Hi-Cube,Out for Delivery,1,4,19,AO382844,133,06:45,15:05,Sample Mate 051
2026-09-17,SA24XPF,Dundee,Hi-Cube,RELOAD PT 2,1,3,21,AO428987,159,08:00,17:20,
2026-09-17,SA21CCO,Crawley,3.5 Tonne,RELOAD PT 2,1,2,21,AO286955,111,05:30,16:05,
2026-09-17,SA22YMS,Crawley,3.5 Tonne,Out for Delivery,1,0,10,AO356046,133,07:45,17:35,
2026-09-17,SA23TCW,Crawley,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA23LTT,Crawley,3.5 Tonne,Stood,0,0,0,,,,,
2026-09-17,SA20CXC,Crawley,3.5 Tonne,RELOAD PT 2,1,3,22,AO533063,157,08:45,18:35,Sample Mate 112
2026-09-17,SA22KZH,Crawley,3.5 Tonne,Out for Delivery,1,3,20,AO339428,155,06:30,13:35,Sample Mate 038
2026-09-17,SA24SVW,Crawley,3.5 Tonne,Out for Delivery,1,3,19,AO523772,147,05:45,14:20,
2026-09-17,SA22CFJ,Crawley,Hi-Cube,Out for Delivery,1,2,9,AO241999,190,06:15,13:05,Sample Mate 029
2026-09-17,SA21CEN,Heywood,Hi-Cube,Out for Delivery,1,2,8,AO524532,173,05:30,12:05,Sample Mate 083
2026-09-17,SA23SWZ,Heywood,Hi-Cube,Out for Delivery,1,4,8,AO459978,155,07:30,15:05,Sample Mate 086
2026-09-17,SA22LUM,Heywood,3.5 Tonne,Out for Delivery,1,2,16,AO627934,195,06:15,16:50,
2026-09-17,SA25KXF,Heywood,3.5 Tonne,Out for Delivery,1,1,14,AO349241,142,06:30,14:35,
2026-09-17,SA24WUX,Heywood,3.5 Tonne,Out for Delivery,1,3,11,AO219984,140,08:45,16:50,Sample Mate 114
2026-09-17,SA19GHF,Heywood,3.5 Tonne,Out for Delivery,1,0,14,AO159553,199,07:45,16:20,Sample Mate 018
2026-09-17,SA21VAL,Heywood,3.5 Tonne,Out for Delivery,1,0,15,AO228770,177,08:30,18:50,
2026-09-17,SA23BVR,Heywood,3.5 Tonne,Out for Delivery,1,1,9,AO885940,191,08:30,19:20,Sample Mate 023
2026-09-17,SA24UTB,Larkhall,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA19AAK,Larkhall,Hi-Cube,Stood,0,0,0,,,,,
2026-09-17,SA19FOW,Larkhall,Hi-Cube,Out for Delivery,1,2,18,AO854255,142,06:15,17:05,Sample Mate 054
2026-09-17,SA19MYE,Larkhall,Hi-Cube,Out for Delivery,1,0,8,AO104132,175,07:00,16:35,
2026-09-17,SA19SSR,Larkhall,3.5 Tonne,Out for Delivery,1,1,18,AO305907,158,08:30,15:35,
2026-09-17,SA20SBV,Larkhall,3.5 Tonne,Out for Delivery,1,1,17,AO134749,149,08:15,15:50,Sample Mate 099
2026-09-17,SA21JDG,Larkhall,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA25OEB,Basildon,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA20DZU,Basildon,3.5 Tonne,Out for Delivery,1,3,16,AO712917,172,05:30,13:20,Sample Mate 108
2026-09-17,SA19XOT,Basildon,3.5 Tonne,Out for Delivery,1,0,20,AO538794,197,06:15,17:20,
2026-09-17,SA21FMO,Basildon,3.5 Tonne,VOR,0,0,0,,,,,
2026-09-17,SA24GBF,Basildon,Hi-Cube,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA25RNO,Basildon,Hi-Cube,Out for Delivery,1,4,20,AO161613,113,07:45,14:50,Sample Mate 050
2026-09-17,SA19XZU,Outside HDV Network,Hi-Cube,Out for Delivery,1,3,9,AO995407,101,05:30,12:05,
2026-09-17,SA19LMO,Outside HDV Network,3.5 Tonne,Out for Delivery,1,2,17,AO843518,104,06:45,15:20,
2026-09-17,SA24CXH,Outside HDV Network,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA24ACZ,Outside HDV Network,3.5 Tonne,Out for Delivery,1,4,16,AO307909,136,05:15,12:35,Sample Mate 043
2026-09-17,SA20EXZ,Fareham,3.5 Tonne,Stood,0,0,0,,,,,
2026-09-17,SA21GBX,Fareham,3.5 Tonne,Out for Delivery,1,2,20,AO230063,140,05:30,14:20,
2026-09-17,SA19LNB,Fareham,3.5 Tonne,VOR,0,0,0,,,,,
2026-09-17,SA19PGR,Fareham,3.5 Tonne,Out for Delivery,1,4,8,AO666200,149,06:45,15:05,
2026-09-17,SA19WEJ,Avonmouth,Hi-Cube,RELOAD PT 2,1,2,13,AO533261,155,06:45,16:05,
2026-09-17,SA22DLG,Avonmouth,Hi-Cube,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA24FWY,Avonmouth,Hi-Cube,Out for Delivery,1,2,8,AO429529,174,06:00,16:50,
2026-09-17,SA23LBS,Crewe,3.5 Tonne,RELOAD PT 2,1,3,10,AO192670,148,06:30,15:05,
2026-09-17,SA25BSS,Crewe,3.5 Tonne,Out for Delivery,1,4,10,AO259756,155,06:00,17:35,Sample Mate 075
2026-09-17,SA20FBH,Crewe,3.5 Tonne,Out for Delivery,1,3,10,AO923040,194,06:15,17:50,Sample Mate 092
2026-09-17,SA22TSZ,Crewe,3.5 Tonne,Out for Delivery,1,3,20,AO596673,185,06:00,14:35,Sample Mate 088
2026-09-17,SA25DST,Crewe,3.5 Tonne,Out for Delivery,1,3,15,AO116885,133,08:00,19:35,
2026-09-17,SA25XEN,Crewe,3.5 Tonne,Out for Delivery,1,4,22,AO240646,161,08:00,15:50,Sample Mate 119
2026-09-17,SA23BYE,Crewe,3.5 Tonne,VOR,0,0,0,,,,,
2026-09-17,SA19MRR,Crewe,Hi-Cube,Out for Delivery,1,3,11,AO378732,132,05:15,16:20,
2026-09-17,SA24DLU,Crewe,Hi-Cube,Out for Delivery,1,2,16,AO827922,174,07:30,15:20,Sample Mate 101
2026-09-17,SA25YOS,Crewe,Hi-Cube,Out for Delivery,1,2,9,AO481741,131,05:00,12:50,
2026-09-17,SA19JFP,Crewe,3.5 Tonne,Out for Delivery,1,1,18,AO164543,149,05:30,13:50,
2026-09-17,SA25VBZ,Crewe,3.5 Tonne,Out for Delivery,1,4,18,AO674092,133,05:30,15:50,
2026-09-17,SA19CNH,Crewe,3.5 Tonne,Out for Delivery,1,0,13,AO583823,186,07:00,18:50,
2026-09-17,SA21DSL,Crewe,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA20UEE,Crewe,3.5 Tonne,VOR,0,0,0,,,,,
2026-09-17,SA19YDC,Crewe,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA22BPZ,Crewe,3.5 Tonne,Out for Delivery,1,0,8,AO473955,136,05:45,14:05,
2026-09-17,SA23JPZ,Crewe,Hi-Cube,Out for Delivery,1,0,8,AO650685,165,06:30,17:35,
2026-09-17,SA19ECR,Crewe,Hi-Cube,Out for Delivery,1,0,17,AO509189,124,05:15,14:05,
2026-09-17,SA21HCL,Crewe,Hi-Cube,Out for Delivery,1,0,13,AO251553,169,06:30,15:50,
2026-09-17,SA25FMP,Crewe,3.5 Tonne,Out for Delivery,1,0,19,AO601976,122,05:15,16:05,
2026-09-17,SA20CBD,Crewe,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA22BVF,Crewe,3.5 Tonne,Out for Delivery,1,1,20,AO570644,125,05:00,13:35,
2026-09-17,SA24UTV,Crewe,3.5 Tonne,Out for Delivery,1,1,17,AO592612,157,06:45,16:05,
2026-09-17,SA19UEA,Crewe,3.5 Tonne,Out for Delivery,1,2,8,AO635417,189,07:30,16:20,
2026-09-17,SA19NNF,Crewe,3.5 Tonne,Stood,0,0,0,,,,,
2026-09-17,SA25GBJ,Crewe,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA24DKG,Crewe,Hi-Cube,Out for Delivery,1,1,19,AO809284,124,06:45,13:05,Sample Mate 057
2026-09-17,SA25FXR,Crewe,Hi-Cube,RELOAD PT 2,1,0,20,AO320855,154,08:30,17:05,Sample Mate 028
2026-09-17,SA25GPM,Crewe,Hi-Cube,Out for Delivery,1,4,8,AO531695,121,06:45,17:20,
2026-09-17,SA20NMS,Crewe,3.5 Tonne,Out for Delivery,1,2,16,AO181904,174,06:15,14:50,
2026-09-17,SA21UZE,Crewe,3.5 Tonne,Stood Not Utilised,0,0,0,,,,,
2026-09-17,SA19ZOT,Crewe,3.5 Tonne,Out for Delivery,1,1,14,AO844851,137,06:00,17:50,Sample Mate 118
2026-09-17,SA21UZJ,Crewe,3.5 Tonne,Out for Delivery,1,1,20,AO459993,170,07:45,16:05,
2026-09-17,SA19TOW,Crewe,3.5 Tonne,Out for Delivery,1,4,9,AO228450,104,07:00,17:05,
2026-09-17,SA21DLX,Crewe,3.5 Tonne,Out for Delivery,1,2,18,AO400939,165,07:30,18:05,
2026-09-17,SA22MAN,Crewe,3.5 Tonne,Out for Delivery,1,3,20,AO237345,168,05:30,13:35,
2026-09-17,SA20VGF,Crewe,Hi-Cube,Out for Delivery,1,4,19,AO265986,154,05:45,16:05,Sample Mate 039
2026-09-17,SA19XLS,Crossgreen,Hi-Cube,RELOAD PT 2,1,0,19,AO513216,172,05:00,12:20,Sample Mate 097
2026-09-17,SA21ZDO,Crossgreen,Hi-Cube,VOR,0,0,0,,,,,
2026-09-17,SA21CHE,Crossgreen,3.5 Tonne,Out for Delivery,1,3,16,AO964710,146,06:15,13:50,Sample Mate 048
2026-09-17,SA23DFF,Crossgreen,3.5 Tonne,VOR,0,0,0,,,,,
2026-09-17,SA19NED,Crossgreen,3.5 Tonne,Out for Delivery,1,0,21,AO747914,131,05:45,13:50,
