reg,depot,vehicle_type,source_vehicle_type,make,model,ownership,fleet_group,supplier,registration_year,status,hire_lease_start_date,lease_term_months,lease_cost,weekly_hire_charge,odometer_reading,odometer_unit,inspection_due_date,inspection_frequency_weeks,mot_due_date,mot_frequency_weeks,loler_frequency_weeks,service_due_date,service_frequency_weeks,service_cost,tacho_frequency_weeks,payload_kg,fuel,gearbox_type,livery,rm_cover,telematics,telematics_provider,cctv,trailer_tracker,insurance_database,dart_charge_registered,congestion_zone_registered,merseyflow_registered,three_seater,front_tyre_size,back_tyre_size,date_added,tacho_due_date,middle_tyre_size,loler_due_date
SA25YOG,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Example Fleet Partners,2025,Active,2025-02-17,24,329,0,152250,M,2026-09-24,12,2027-04-15,52,0,2026-10-22,26,400,0,1100,Diesel,Manual,Blue,0,0,,0,0,1,1,1,0,0,225/65R16C,225/65R16C,2025-02-17,,,
SA22POR,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Sample Leasing Ltd,2022,Active,2022-01-13,0,0,145,107750,M,2026-10-22,12,2027-08-05,52,0,2026-12-10,26,0,0,1100,Diesel,Manual,White / Sample Branding,0,0,,0,0,0,1,0,1,0,225/65R16C,225/65R16C,2022-01-13,,,
SA23TKP,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Illustration Rentals,2023,Active,2023-01-05,0,0,145,148000,M,2026-11-26,12,2027-03-18,52,0,2026-12-03,26,650,0,1100,Diesel,Manual,White / Sample Branding,0,0,,0,0,0,1,0,1,1,225/65R16C,225/65R16C,2023-01-05,,,
SA20PKF,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Illustration Rentals,2020,Active,2020-02-12,36,342,0,237000,M,2026-10-01,12,2027-07-29,52,0,2027-03-18,26,650,0,1100,Diesel,Manual,Blue,0,1,SampleConnect,0,0,0,1,1,0,0,225/65R16C,225/65R16C,2020-02-12,,,
SA22YRV,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Illustration Rentals,2022,Active,2022-07-10,0,0,650,125000,M,2026-12-03,12,2027-04-22,52,0,2027-02-04,26,400,0,1100,Diesel,Manual,Silver,0,1,FleetExample,1,0,1,0,1,1,1,225/65R16C,225/65R16C,2022-07-10,,,
SA23SXC,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Demo Hire Services,2023,VOR,2023-05-26,36,461,0,57500,M,2026-10-22,12,2027-05-06,52,0,2026-10-08,26,150,0,1100,Diesel,Manual,Silver,0,1,FleetExample,0,0,1,1,1,0,1,225/65R16C,225/65R16C,2023-05-26,,,
SA20AFW,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Sample Leasing Ltd,2020,Active,2020-01-03,48,480,0,42000,M,2026-11-19,12,2027-02-18,52,0,2027-03-11,26,0,0,1100,Diesel,Manual,Green / Sample Branding,1,1,SampleConnect,0,0,0,1,1,0,0,225/65R16C,225/65R16C,2020-01-03,,,
SA25ADF,Crewe,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Illustration Rentals,2025,Active,2025-10-28,36,370,0,55250,M,2026-10-22,12,2026-12-10,52,0,2026-11-12,26,0,0,1100,Diesel,Manual,Blue,0,0,,0,0,0,1,0,0,1,225/65R16C,225/65R16C,2025-10-28,,,
SA24AMJ,Crewe,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2024,Active,2024-04-25,0,0,0,162250,M,2026-10-29,12,2027-04-08,52,0,2026-12-31,26,250,0,1100,Diesel,Manual,Blue,1,1,DemoTrack,0,0,1,1,1,0,0,225/65R16C,225/65R16C,2024-04-25,,,
SA21FFU,Crewe,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2021,Active,2021-09-21,0,0,0,55250,M,2026-12-10,12,2027-09-09,52,0,2027-01-28,26,650,0,1100,Diesel,Manual,White,0,1,DemoTrack,0,0,1,1,0,1,1,225/65R16C,225/65R16C,2021-09-21,,,
SA21BFL,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Illustration Rentals,2021,Active,2021-10-22,0,0,650,159000,M,2026-10-01,12,2027-01-28,52,0,2026-11-12,26,400,0,1100,Diesel,Manual,White,0,0,,0,0,0,1,1,1,1,225/65R16C,225/65R16C,2021-10-22,,,
SA21ESA,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Sample Leasing Ltd,2021,Active,2021-08-19,24,197,0,126250,M,2026-10-15,12,2026-11-26,52,0,2027-03-25,26,400,0,1100,Diesel,Manual,White,0,1,FleetExample,0,0,1,1,1,0,0,225/65R16C,225/65R16C,2021-08-19,,,
SA24WUV,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Sample Leasing Ltd,2024,VOR,2024-09-23,48,425,0,182000,M,2026-11-12,12,2027-04-08,52,0,2027-01-07,26,0,0,1100,Diesel,Manual,White,0,0,,0,0,0,1,1,0,1,225/65R16C,225/65R16C,2024-09-23,,,
SA19RJN,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Sample Leasing Ltd,2019,Active,2019-01-03,48,234,0,141500,M,2026-12-17,12,2026-04-30,52,0,2026-11-12,26,150,0,1100,Diesel,Manual,Silver,1,0,,1,0,0,1,0,0,1,225/65R16C,225/65R16C,2019-01-03,,,
SA19PLZ,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Sample Leasing Ltd,2019,Active,2019-02-11,0,0,145,90000,M,2026-10-08,12,2027-07-08,52,0,2027-01-07,26,250,0,1100,Diesel,Manual,White,1,0,,1,0,0,1,1,0,0,225/65R16C,225/65R16C,2019-02-11,,,
SA25EVK,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Sample Leasing Ltd,2025,Active,2025-05-19,36,546,0,189000,M,2026-10-22,12,2027-09-09,52,0,2026-11-12,26,150,0,1100,Diesel,Manual,Blue,1,0,,1,0,0,1,1,1,0,225/65R16C,225/65R16C,2025-05-19,,,
SA23UHR,Crewe,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2023,Active,2023-06-02,0,0,0,122250,M,2026-10-15,12,2026-12-31,52,0,2027-03-04,26,650,0,1100,Diesel,Manual,Silver,0,1,SampleConnect,0,0,1,1,0,1,1,225/65R16C,225/65R16C,2023-06-02,,,
SA25UOZ,Crewe,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Sample Leasing Ltd,2025,Active,2025-10-23,60,475,0,108750,M,2026-12-17,12,2027-04-01,52,0,2026-10-15,26,650,0,1100,Diesel,Manual,White,0,1,SampleConnect,0,0,0,1,0,0,1,225/65R16C,225/65R16C,2025-10-23,,,
SA22ZAP,Crossgreen,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Illustration Rentals,2022,VOR,2022-03-20,36,247,0,108750,M,2026-10-15,12,2027-02-18,52,0,2026-12-03,26,250,0,1100,Diesel,Manual,Green / Sample Branding,1,1,DemoTrack,0,0,0,1,1,1,0,225/65R16C,225/65R16C,2022-03-20,,,
SA20ZFK,Crossgreen,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2020,Active,2020-04-06,0,0,0,217750,M,2026-12-10,12,2027-06-10,52,0,2026-05-07,26,150,0,1100,Diesel,Manual,Blue,1,0,,0,0,0,0,0,0,1,225/65R16C,225/65R16C,2020-04-06,,,
SA19USJ,Crossgreen,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2019,Active,2019-11-05,0,0,0,11750,M,2026-08-27,12,2026-10-08,52,0,2026-11-12,26,400,0,1100,Diesel,Manual,Blue,1,0,,0,0,0,1,0,1,1,225/65R16C,225/65R16C,2019-11-05,,,
SA19GOU,Crossgreen,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2019,Active,2019-09-15,0,0,0,153250,M,2026-10-22,12,2026-10-08,52,0,2027-01-21,26,150,0,1100,Diesel,Manual,Green / Sample Branding,1,0,,1,0,0,1,1,0,1,225/65R16C,225/65R16C,2019-09-15,,,
SA25UOT,Crossgreen,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Demo Hire Services,2025,Active,2025-02-16,24,218,0,217500,M,2026-10-08,12,2027-08-12,52,0,2027-03-25,26,400,0,1100,Diesel,Manual,White,1,1,FleetExample,0,0,1,1,0,0,1,225/65R16C,225/65R16C,2025-02-16,,,
SA20PRE,Crossgreen,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Illustration Rentals,2020,VOR,2020-07-16,36,365,0,198000,M,2026-10-15,12,2026-10-08,52,0,2026-12-24,26,250,0,1100,Diesel,Manual,White,1,1,DemoTrack,0,0,0,1,0,0,1,225/65R16C,225/65R16C,2020-07-16,,,
SA21AFW,Crossgreen,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2021,Active,2021-06-17,0,0,0,232500,M,2026-11-12,12,2026-12-10,52,0,2026-11-05,26,400,0,1100,Diesel,Manual,Silver,0,1,FleetExample,1,0,1,1,1,0,1,225/65R16C,225/65R16C,2021-06-17,,,
SA21JRF,Crossgreen,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Sample Leasing Ltd,2021,Active,2021-04-08,0,0,145,25750,M,2026-11-12,12,2027-08-26,52,0,2026-11-05,26,0,0,1100,Diesel,Manual,Silver,1,0,,0,0,0,0,0,0,0,225/65R16C,225/65R16C,2021-04-08,,,
SA20VRD,Crossgreen,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2020,Active,2020-09-17,0,0,0,22250,M,2026-10-22,12,2027-06-03,52,0,2027-01-28,26,0,0,1100,Diesel,Manual,Green / Sample Branding,0,0,,0,0,1,1,1,0,0,225/65R16C,225/65R16C,2020-09-17,,,
SA22AHT,Crossgreen,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Sample Leasing Ltd,2022,Active,2022-08-17,60,371,0,82750,M,2026-12-03,12,2027-03-25,52,0,2026-12-24,26,250,0,1100,Diesel,Manual,Silver,0,1,FleetExample,1,0,0,0,1,0,1,225/65R16C,225/65R16C,2022-08-17,,,
SA23HJE,Crossgreen,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Sample Leasing Ltd,2023,Active,2023-09-09,0,0,145,50000,M,2026-11-26,12,2027-07-08,52,0,2027-02-11,26,0,0,1100,Diesel,Manual,Green / Sample Branding,0,1,FleetExample,0,0,0,0,0,0,1,225/65R16C,225/65R16C,2023-09-09,,,
SA22JOZ,Crossgreen,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Example Fleet Partners,2022,Active,2022-12-18,0,0,145,166250,M,2026-12-17,12,2026-12-31,52,0,2026-12-17,26,650,0,1100,Diesel,Manual,Silver,1,0,,1,0,1,1,0,1,1,225/65R16C,225/65R16C,2022-12-18,,,
SA19YDN,Crossgreen,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2019,Active,2019-01-03,0,0,0,117000,M,2026-12-03,12,2026-11-12,52,0,2026-11-05,26,650,0,1100,Diesel,Manual,White,1,1,FleetExample,1,0,0,1,1,0,1,225/65R16C,225/65R16C,2019-01-03,,,
SA24MMZ,Crossgreen,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Illustration Rentals,2024,Active,2024-12-21,0,0,650,87750,M,2026-12-03,12,2027-01-21,52,0,2027-02-11,26,250,0,1100,Diesel,Manual,White / Sample Branding,0,0,,0,0,1,1,1,1,0,225/65R16C,225/65R16C,2024-12-21,,,
SA23ARK,Crossgreen,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Illustration Rentals,2023,Active,2023-01-05,0,0,145,25000,M,2026-10-15,12,2027-02-18,52,0,2027-02-18,26,250,0,1100,Diesel,Manual,White,1,1,SampleConnect,1,0,1,1,0,1,1,225/65R16C,225/65R16C,2023-01-05,,,
SA21XRJ,Stoke,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Example Fleet Partners,2021,Active,2021-10-09,36,456,0,22250,M,2026-10-22,12,2026-08-27,52,0,2027-01-28,26,650,0,1100,Diesel,Manual,White / Sample Branding,1,1,SampleConnect,0,0,0,1,1,0,0,225/65R16C,225/65R16C,2021-10-09,,,
SA23DRC,Stoke,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Sample Leasing Ltd,2023,Active,2023-10-01,0,0,145,29500,M,2026-10-15,12,2026-12-31,52,0,2027-03-04,26,150,0,1100,Diesel,Manual,Blue,1,0,,1,0,0,0,1,0,0,225/65R16C,225/65R16C,2023-10-01,,,
SA23XXA,Stoke,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2023,Active,2023-08-24,0,0,0,171750,M,2026-12-10,12,2027-04-15,52,0,2027-02-11,26,0,0,1100,Diesel,Manual,White,1,1,FleetExample,0,0,0,0,0,1,1,225/65R16C,225/65R16C,2023-08-24,,,
SA19VAW,Stoke,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2019,Active,2019-04-06,0,0,0,175250,M,2026-10-22,12,2027-04-22,52,0,2026-10-22,26,650,0,1100,Diesel,Manual,Silver,1,1,FleetExample,0,0,0,1,1,0,0,225/65R16C,225/65R16C,2019-04-06,,,
SA23YNF,Stoke,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Example Fleet Partners,2023,Active,2023-07-17,0,0,650,129750,M,2026-11-26,12,2027-05-06,52,0,2026-11-26,26,650,0,1100,Diesel,Manual,Silver,1,0,,0,0,0,1,0,1,1,225/65R16C,225/65R16C,2023-07-17,,,
SA21FDL,Stoke,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Sample Leasing Ltd,2021,Active,2021-01-17,60,498,0,13500,M,2026-10-01,12,2026-10-29,52,0,2027-02-25,26,0,0,1100,Diesel,Manual,White / Sample Branding,1,1,FleetExample,0,0,0,1,0,0,0,225/65R16C,225/65R16C,2021-01-17,,,
SA22MHK,Stoke,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2022,Active,2022-10-21,0,0,0,173500,M,2026-12-03,12,2026-10-08,52,0,2026-08-06,26,650,0,1100,Diesel,Manual,Silver,0,1,DemoTrack,0,0,0,1,0,0,0,225/65R16C,225/65R16C,2022-10-21,,,
SA25RNW,Stoke,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Sample Leasing Ltd,2025,Active,2025-08-08,0,0,145,72250,M,2026-09-24,12,2026-12-17,52,0,2026-10-29,26,250,0,1100,Diesel,Manual,Green / Sample Branding,1,1,SampleConnect,0,0,0,1,0,0,0,225/65R16C,225/65R16C,2025-08-08,,,
SA25TSY,Stoke,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Demo Hire Services,2025,Active,2025-02-26,60,444,0,171500,M,2026-10-08,12,2026-11-05,52,0,2026-12-31,26,650,0,1100,Diesel,Manual,White / Sample Branding,1,1,SampleConnect,1,0,1,1,1,1,1,225/65R16C,225/65R16C,2025-02-26,,,
SA24NPG,Stoke,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Sample Leasing Ltd,2024,VOR,2024-10-20,24,450,0,14500,M,2026-12-17,12,2026-11-19,52,0,2026-10-08,26,650,0,1100,Diesel,Manual,Green / Sample Branding,0,1,FleetExample,0,0,1,1,1,0,1,225/65R16C,225/65R16C,2024-10-20,,,
SA21BRA,Stoke,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Demo Hire Services,2021,Active,2021-10-21,48,339,0,136500,M,2026-10-15,12,2027-09-02,52,0,2027-03-11,26,150,0,1100,Diesel,Manual,White / Sample Branding,0,1,DemoTrack,0,0,0,1,1,0,0,225/65R16C,225/65R16C,2021-10-21,,,
SA25CSD,Stoke,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Illustration Rentals,2025,Active,2025-09-03,36,286,0,157750,M,2026-10-08,12,2026-11-05,52,0,2026-11-05,26,400,0,1100,Diesel,Manual,Blue,0,0,,0,0,0,0,1,0,0,225/65R16C,225/65R16C,2025-09-03,,,
SA24GWT,Stoke,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Demo Hire Services,2024,Active,2024-05-27,0,0,650,208000,M,2026-12-03,12,2026-10-29,52,0,2026-11-19,26,150,0,1100,Diesel,Manual,Green / Sample Branding,1,0,,0,0,0,1,1,1,1,225/65R16C,225/65R16C,2024-05-27,,,
SA24AMN,Exeter,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Illustration Rentals,2024,Active,2024-08-06,0,0,145,177000,M,2026-11-26,12,2027-09-23,52,0,2027-02-25,26,0,0,1100,Diesel,Manual,White / Sample Branding,0,1,FleetExample,1,0,0,1,0,0,1,225/65R16C,225/65R16C,2024-08-06,,,
SA24SMX,Exeter,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Sample Leasing Ltd,2024,Active,2024-07-24,48,381,0,94000,M,2026-10-08,12,2027-09-02,52,0,2026-12-31,26,650,0,1100,Diesel,Manual,Blue,1,0,,1,0,0,0,0,1,1,225/65R16C,225/65R16C,2024-07-24,,,
SA24WMZ,Exeter,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Example Fleet Partners,2024,Active,2024-10-21,36,384,0,16750,M,2026-12-10,12,2027-02-11,52,0,2026-11-26,26,400,0,1100,Diesel,Manual,White / Sample Branding,1,1,DemoTrack,1,0,0,1,1,1,1,225/65R16C,225/65R16C,2024-10-21,,,
SA24UFV,Exeter,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Sample Leasing Ltd,2024,Active,2024-07-21,60,358,0,17500,M,2026-10-29,12,2027-07-29,52,0,2026-12-17,26,250,0,1100,Diesel,Manual,Silver,0,0,,1,0,0,1,1,1,1,225/65R16C,225/65R16C,2024-07-21,,,
SA25WDM,Exeter,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2025,Active,2025-03-10,0,0,0,225000,M,2026-11-12,12,2027-09-02,52,0,2027-02-11,26,150,0,1100,Diesel,Manual,Green / Sample Branding,0,1,SampleConnect,0,0,1,1,1,1,1,225/65R16C,225/65R16C,2025-03-10,,,
SA19DYL,Exeter,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2019,VOR,2019-04-12,0,0,0,199500,M,2026-10-29,12,2026-11-12,52,0,2027-01-07,26,400,0,1100,Diesel,Manual,Green / Sample Branding,0,0,,0,0,1,1,1,1,0,225/65R16C,225/65R16C,2019-04-12,,,
