reg,depot,vehicle_type,vor_date,vor_category,vor_sub_category,vor_details,damage_type,covered_under_rm,repair_site,reported_to_supplier,liability,original_expected_return_date,expected_return_date,eta_revision_count,actual_return_date,status,source_vor_term_days,fraikin_view_number
SA23GVO,Basildon,Tractor Unit,2025-10-10,Non-Scheduled Maintenance,Box Damage,Sample box damage reported at Basildon,Body,0,Sample Repair Site 6,1,AO,2025-10-18,2025-10-18,0,2025-10-14,Returned,4,
SA19OVY,Gravesend,Conventional Trailer,2025-10-13,Legal Maintenance,Inspection,Sample inspection reported at Gravesend,Mechanical,1,Sample Repair Site 7,1,AO,2025-10-14,2025-10-14,0,2025-10-14,Returned,1,
SA19YVN,Newport,Conventional Trailer,2025-10-13,Legal Maintenance,Inspection,Sample inspection reported at Newport,Mechanical,0,Sample Repair Site 9,1,AO,2025-10-14,2025-10-14,0,2025-10-14,Returned,1,
SA19TOW,Crewe,3.5 Tonne,2025-10-14,Non-Scheduled Maintenance,Ironmongery,Sample ironmongery reported at Crewe,Body,0,Sample Repair Site 4,0,AO,2025-10-17,2025-10-21,1,2025-10-21,Returned,7,FV100299
SA21UJO,Crossgreen,DD Trailer,2025-10-14,Non-Scheduled Maintenance,Steering,Sample steering reported at Crossgreen,Mechanical,0,Sample Repair Site 2,1,Fraikin,2025-10-22,2025-10-29,2,2025-10-29,Returned,15,
SA21YUH,Crossgreen,Tractor Unit,2025-10-15,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Crossgreen,Mechanical,0,Sample Repair Site 8,1,Fraikin,2025-10-18,2025-10-18,0,2025-10-18,Returned,3,
SA25JMV,Coventry,18 Tonne,2025-10-15,Legal Maintenance,MOT & Service,Sample mot & service reported at Coventry,Mechanical,0,Sample Repair Site 8,1,AO,2025-10-17,2025-10-17,0,2025-10-16,Returned,1,FV100116
SA25JUD,Larkhall,Megatrailer,2025-10-16,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Larkhall,Mechanical,0,Sample Repair Site 9,1,AO,2025-10-29,2025-11-02,1,2025-11-02,Returned,17,
SA24BYG,Luton,Tractor Unit,2025-10-16,Legal Maintenance,Inspection,Sample inspection reported at Luton,Mechanical,0,Sample Repair Site 3,1,AO,2025-10-17,2025-10-17,0,2025-10-17,Returned,1,
SA25LBS,Avonmouth,Tractor Unit,2025-10-17,RTC - AO Liable,Major Damage,Sample major damage reported at Avonmouth,Body,0,Sample Repair Site 10,1,AO,2025-11-06,2025-11-09,1,2025-11-09,Returned,23,
SA21MGZ,Crossgreen,Conventional Trailer,2025-10-17,Legal Maintenance,Inspection,Sample inspection reported at Crossgreen,Mechanical,0,Sample Repair Site 11,1,AO,2025-10-18,2025-10-18,0,2025-10-18,Returned,1,
SA19BKJ,Gravesend,Tractor Unit,2025-10-20,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Gravesend,Mechanical,0,Sample Repair Site 5,1,AO,2025-11-03,2025-11-03,0,2025-10-30,Returned,10,
SA20JSF,Yaxley,Conventional Trailer,2025-10-20,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Yaxley,Mechanical,0,Sample Repair Site 11,0,AO,2025-10-22,2025-10-22,0,2025-10-21,Returned,1,
SA19MZT,Avonmouth,Tractor Unit,2025-10-21,Non-Scheduled Maintenance,Box Damage,Sample box damage reported at Avonmouth,Body,0,Sample Repair Site 6,1,AO,2025-10-30,2025-10-30,0,2025-10-30,Returned,9,
SA24UKB,Coventry,Conventional Trailer,2025-10-21,Legal Maintenance,MOT & Service,Sample mot & service reported at Coventry,Mechanical,1,Sample Repair Site 12,1,AO,2025-10-23,2025-10-26,1,2025-10-26,Returned,5,
SA23GBJ,Fareham,Conventional Trailer,2025-10-22,Non-Scheduled Maintenance,Floor failure,Sample floor failure reported at Fareham,Body,0,Sample Repair Site 12,0,AO,2025-10-30,2025-11-23,3,2025-11-23,Returned,32,FV100612
SA20TRB,Coventry,Hi-Cube,2025-10-23,Vehicle Damage - Crew Recharge,Door Damage,Sample door damage reported at Coventry,Body,0,Sample Repair Site 2,1,AO,2025-10-27,2025-10-29,1,2025-10-29,Returned,6,
SA24FWY,Avonmouth,Hi-Cube,2025-10-23,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Avonmouth,Mechanical,0,Sample Repair Site 7,1,AO,2025-10-29,2025-10-30,1,2025-10-30,Returned,7,
SA23GBJ,Fareham,Conventional Trailer,2025-10-24,Vehicle Damage - Crew Recharge,Door Damage,Sample door damage reported at Fareham,Body,0,Sample Repair Site 8,1,AO,2025-10-29,2025-10-31,1,2025-10-31,Returned,7,
SA20AGS,Spennymoor,18 Tonne,2025-10-24,Vehicle Damage - Crew Recharge,Minor Damage,Sample minor damage reported at Spennymoor,Body,0,Sample Repair Site 8,1,AO,2025-10-28,2025-10-30,1,2025-10-30,Returned,6,FV100272
SA19HYL,Basildon,Tractor Unit,2025-10-27,RTC - AO Liable,Major Damage,Sample major damage reported at Basildon,Body,1,Sample Repair Site 1,0,AO,2025-11-22,2025-12-09,3,2025-12-09,Returned,43,
SA19KZK,Potters-Bar,3.5 Tonne,2025-10-27,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Potters-Bar,Mechanical,1,Sample Repair Site 10,1,AO,2025-11-06,2025-11-10,1,2025-11-10,Returned,14,
SA20CRD,Crossgreen,Megatrailer,2025-10-28,Vehicle Damage - Crew Recharge,Minor Damage,Sample minor damage reported at Crossgreen,Body,0,Sample Repair Site 9,1,AO,2025-10-31,2025-10-31,0,2025-10-31,Returned,3,
SA23YZC,Dundee,Tractor Unit,2025-10-28,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Dundee,Mechanical,0,Sample Repair Site 7,1,AO,2025-11-06,2025-11-13,2,2025-11-13,Returned,16,
SA24GWT,Stoke,3.5 Tonne,2025-10-29,Legal Maintenance,MOT & Service,Sample mot & service reported at Stoke,Mechanical,1,Sample Repair Site 1,0,AO,2025-10-30,2025-10-31,1,2025-10-31,Returned,2,
SA24GBF,Basildon,Hi-Cube,2025-10-29,RTC - AO Liable,Major Damage,Sample major damage reported at Basildon,Body,0,Sample Repair Site 8,1,Fraikin,2025-11-24,2025-11-24,0,2025-11-19,Returned,21,
SA19EWH,Crawley,18 Tonne,2025-10-30,Non-Scheduled Maintenance,Tail Lift,Sample tail lift reported at Crawley,Mechanical,0,Sample Repair Site 4,1,AO,2025-11-06,2025-11-08,1,2025-11-08,Returned,9,
SA25OEB,Basildon,3.5 Tonne,2025-10-30,Vehicle Damage - Crew Recharge,Minor Damage,Sample minor damage reported at Basildon,Body,0,Sample Repair Site 6,1,AO,2025-11-04,2025-11-05,1,2025-11-05,Returned,6,
SA21CEN,Heywood,Hi-Cube,2025-10-31,Non-Scheduled Maintenance,Brakes,Sample brakes reported at Heywood,Mechanical,0,Sample Repair Site 2,1,AO,2025-11-03,2025-11-03,0,2025-11-01,Returned,1,
SA21AFW,Crossgreen,3.5 Tonne,2025-10-31,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Crossgreen,Mechanical,0,Sample Repair Site 6,1,Third Party,2025-11-05,2025-11-17,2,2025-11-17,Returned,17,
SA22HMV,Crewe,18 Tonne,2025-11-03,Non-Scheduled Maintenance,Shutter Door,Sample shutter door reported at Crewe,Body,0,Sample Repair Site 11,1,AO,2025-11-07,2025-11-09,1,2025-11-09,Returned,6,
SA19EWH,Crawley,18 Tonne,2025-11-03,Non-Scheduled Maintenance,Rear door failure,Sample rear door failure reported at Crawley,Body,0,Sample Repair Site 1,1,AO,2025-11-07,2025-11-12,1,2025-11-12,Returned,9,
SA24ZEC,Heywood,Tractor Unit,2025-11-04,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Heywood,Mechanical,0,Sample Repair Site 10,1,Fraikin,2025-11-10,2025-11-13,1,2025-11-13,Returned,9,
SA25GKR,Gravesend,Megatrailer,2025-11-04,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Gravesend,Mechanical,1,Sample Repair Site 2,1,Fraikin,2025-11-09,2025-11-09,0,2025-11-08,Returned,4,
SA23DMW,Luton,18 Tonne,2025-11-04,Non-Scheduled Maintenance,Fluid Leak,Sample fluid leak reported at Luton,Mechanical,1,Sample Repair Site 11,1,AO,2025-11-08,2025-11-12,1,2025-11-12,Returned,8,FV100771
SA21BRA,Stoke,3.5 Tonne,2025-11-05,Legal Maintenance,Service Only,Sample service only reported at Stoke,Mechanical,0,Sample Repair Site 8,1,AO,2025-11-06,2025-11-06,0,2025-11-06,Returned,1,
SA25ZER,Coventry,Tractor Unit,2025-11-05,Vehicle Damage - Crew Recharge,Minor Damage,Sample minor damage reported at Coventry,Body,1,Sample Repair Site 5,1,AO,2025-11-09,2025-11-11,1,2025-11-11,Returned,6,
SA25BEL,Crossgreen,Conventional Trailer,2025-11-06,Non-Scheduled Maintenance,Gearbox,Sample gearbox reported at Crossgreen,Mechanical,0,Sample Repair Site 5,1,AO,2025-11-22,2025-12-02,2,2025-12-02,Returned,26,
SA20YKX,Coventry,Megatrailer,2025-11-06,Legal Maintenance,Inspection,Sample inspection reported at Coventry,Mechanical,1,Sample Repair Site 5,0,AO,2025-11-07,2025-11-08,1,2025-11-08,Returned,2,
SA25VME,Avonmouth,18 Tonne,2025-11-07,Vehicle Damage - Crew Recharge,Door Damage,Sample door damage reported at Avonmouth,Body,0,Sample Repair Site 2,1,AO,2025-11-13,2025-11-13,0,2025-11-13,Returned,6,
SA19RCX,Avonmouth,Tractor Unit,2025-11-07,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Avonmouth,Mechanical,0,Sample Repair Site 7,1,AO,2025-11-19,2025-11-27,2,2025-11-27,Returned,20,
SA25NDT,Luton,18 Tonne,2025-11-10,Non-Scheduled Maintenance,Ironmongery,Sample ironmongery reported at Luton,Body,0,Sample Repair Site 11,0,AO,2025-11-13,2025-11-14,1,2025-11-14,Returned,4,
SA25YUN,Crewe,Tractor Unit,2025-11-10,Non-Scheduled Maintenance,Shutter Door,Sample shutter door reported at Crewe,Body,0,Sample Repair Site 8,0,AO,2025-11-14,2025-11-20,1,2025-11-20,Returned,10,
SA20RUY,Crewe,Tractor Unit,2025-11-11,Legal Maintenance,MOT & Service,Sample mot & service reported at Crewe,Mechanical,0,Sample Repair Site 5,0,AO,2025-11-13,2025-11-13,0,2025-11-13,Returned,2,
SA19MZT,Avonmouth,Tractor Unit,2025-11-11,Legal Maintenance,Service Only,Sample service only reported at Avonmouth,Mechanical,0,Sample Repair Site 9,1,AO,2025-11-12,2025-11-12,0,2025-11-12,Returned,1,FV100900
SA19UCD,Crossgreen,18 Tonne,2025-11-12,Non-Scheduled Maintenance,Tail Lift,Sample tail lift reported at Crossgreen,Mechanical,0,Sample Repair Site 3,0,AO,2025-11-18,2025-11-23,1,2025-11-23,Returned,11,FV100423
SA24MKF,Potters-Bar,Tractor Unit,2025-11-12,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Potters-Bar,Mechanical,0,Sample Repair Site 8,1,AO,2025-11-15,2025-11-15,0,2025-11-14,Returned,2,
SA21UTW,Avonmouth,DD Trailer,2025-11-13,Non-Scheduled Maintenance,Fluid Leak,Sample fluid leak reported at Avonmouth,Mechanical,0,Sample Repair Site 7,0,Third Party,2025-11-18,2025-11-19,1,2025-11-19,Returned,6,
SA19PFL,Dundee,Tractor Unit,2025-11-13,Non-Scheduled Maintenance,Rear door failure,Sample rear door failure reported at Dundee,Body,1,Sample Repair Site 7,1,Third Party,2025-11-17,2025-11-17,0,2025-11-17,Returned,4,
SA20TYO,Newport,3.5 Tonne,2025-11-14,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Newport,Mechanical,1,Sample Repair Site 9,1,AO,2025-11-24,2025-12-03,2,2025-12-03,Returned,19,
SA20NEV,Crewe,18 Tonne,2025-11-14,Non-Scheduled Maintenance,Tail Lift,Sample tail lift reported at Crewe,Mechanical,0,Sample Repair Site 9,0,AO,2025-11-20,2025-11-20,0,2025-11-17,Returned,3,
SA25OVW,Fareham,18 Tonne,2025-11-14,Legal Maintenance,Inspection,Sample inspection reported at Fareham,Mechanical,0,Sample Repair Site 6,1,AO,2025-11-15,2025-11-15,0,2025-11-15,Returned,1,
SA21NEM,Crossgreen,Conventional Trailer,2025-11-17,Legal Maintenance,Inspection,Sample inspection reported at Crossgreen,Mechanical,1,Sample Repair Site 8,1,Fraikin,2025-11-18,2025-11-18,0,2025-11-18,Returned,1,FV100212
SA24NEL,Potters-Bar,18 Tonne,2025-11-17,Non-Scheduled Maintenance,Rear frame damage,Sample rear frame damage reported at Potters-Bar,Body,0,Sample Repair Site 6,1,AO,2025-11-30,2025-12-11,2,2025-12-11,Returned,24,
SA23RZC,Crossgreen,Tractor Unit,2025-11-18,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Crossgreen,Mechanical,0,Sample Repair Site 3,1,AO,2025-11-20,2025-11-21,1,2025-11-21,Returned,3,
SA21FUP,Heywood,Tractor Unit,2025-11-18,Vehicle Damage - Crew Recharge,Door Damage,Sample door damage reported at Heywood,Body,1,Sample Repair Site 7,1,Third Party,2025-11-23,2025-12-02,2,2025-12-02,Returned,14,
SA20AGS,Spennymoor,18 Tonne,2025-11-19,Vehicle Damage - Crew Recharge,Door Damage,Sample door damage reported at Spennymoor,Body,0,Sample Repair Site 11,0,AO,2025-11-23,2025-11-25,1,2025-11-25,Returned,6,
SA24AVF,Newport,18 Tonne,2025-11-19,Non-Scheduled Maintenance,Gearbox,Sample gearbox reported at Newport,Mechanical,1,Sample Repair Site 12,1,Fraikin,2025-12-07,2025-12-16,2,2025-12-16,Returned,27,FV100206
SA20HUG,Crawley,Conventional Trailer,2025-11-20,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Crawley,Mechanical,0,Sample Repair Site 9,1,AO,2025-11-22,2025-11-22,0,2025-11-22,Returned,2,
SA20ENJ,Dundee,18 Tonne,2025-11-20,Non-Scheduled Maintenance,Steering,Sample steering reported at Dundee,Mechanical,0,Sample Repair Site 5,1,AO,2025-11-28,2025-11-28,0,2025-11-27,Returned,7,
SA20ZFK,Crossgreen,Hi-Cube,2025-11-21,Legal Maintenance,Inspection,Sample inspection reported at Crossgreen,Mechanical,0,Sample Repair Site 1,0,AO,2025-11-22,2025-11-22,0,2025-11-22,Returned,1,
SA22MWT,Stoke,Tractor Unit,2025-11-21,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Stoke,Mechanical,0,Sample Repair Site 6,1,Fraikin,2025-11-23,2025-11-23,0,2025-11-22,Returned,1,FV100129
SA23OCA,Fareham,Conventional Trailer,2025-11-21,Non-Scheduled Maintenance,Gearbox,Sample gearbox reported at Fareham,Mechanical,0,Sample Repair Site 4,1,AO,2025-12-11,2025-12-12,1,2025-12-12,Returned,21,
SA20KMB,Luton,Conventional Trailer,2025-11-24,Non-Scheduled Maintenance,Fluid Leak,Sample fluid leak reported at Luton,Mechanical,0,Sample Repair Site 6,1,AO,2025-11-29,2025-11-29,0,2025-11-28,Returned,4,
SA21NEM,Crossgreen,Conventional Trailer,2025-11-24,Non-Scheduled Maintenance,Rear frame damage,Sample rear frame damage reported at Crossgreen,Body,1,Sample Repair Site 9,0,AO,2025-12-09,2025-12-19,2,2025-12-19,Returned,25,
SA19EWH,Crawley,18 Tonne,2025-11-25,RTC - AO Liable,Major Damage,Sample major damage reported at Crawley,Body,0,Sample Repair Site 10,1,AO,2025-12-22,2025-12-22,0,2025-12-16,Returned,21,
SA19OEL,Coventry,Tractor Unit,2025-11-25,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Coventry,Mechanical,0,Sample Repair Site 10,1,AO,2025-11-30,2025-12-01,1,2025-12-01,Returned,6,
SA21LFM,Crawley,Tractor Unit,2025-11-26,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Crawley,Mechanical,0,Sample Repair Site 12,0,AO,2025-11-28,2025-11-28,0,2025-11-28,Returned,2,
SA20DKD,Yaxley,Megatrailer,2025-11-26,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Yaxley,Mechanical,0,Sample Repair Site 1,0,AO,2025-11-29,2025-11-29,0,2025-11-29,Returned,3,
SA21AFW,Crossgreen,3.5 Tonne,2025-11-27,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Crossgreen,Mechanical,0,Sample Repair Site 4,1,AO,2025-11-29,2025-12-03,1,2025-12-03,Returned,6,
SA21YHN,Coventry,3.5 Tonne,2025-11-27,Non-Scheduled Maintenance,Shutter Door,Sample shutter door reported at Coventry,Body,0,Sample Repair Site 8,1,Fraikin,2025-12-01,2025-12-01,0,2025-11-30,Returned,3,
SA19BSB,Luton,Megatrailer,2025-11-27,Non-Scheduled Maintenance,Box Damage,Sample box damage reported at Luton,Body,1,Sample Repair Site 2,1,AO,2025-12-04,2025-12-13,2,2025-12-13,Returned,16,
SA25LBS,Avonmouth,Tractor Unit,2025-11-28,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Avonmouth,Mechanical,0,Sample Repair Site 10,1,Fraikin,2025-11-30,2025-12-01,1,2025-12-01,Returned,3,FV100060
SA21AOG,Crawley,Megatrailer,2025-11-28,Non-Scheduled Maintenance,Tail Lift,Sample tail lift reported at Crawley,Mechanical,0,Sample Repair Site 6,1,Fraikin,2025-12-04,2025-12-05,1,2025-12-05,Returned,7,FV100803
SA22VGW,Exeter,Tractor Unit,2025-12-01,Non-Scheduled Maintenance,Floor failure,Sample floor failure reported at Exeter,Body,0,Sample Repair Site 5,1,AO,2025-12-09,2025-12-09,0,2025-12-07,Returned,6,
SA25PPX,Newport,Hi-Cube,2025-12-01,Legal Maintenance,Inspection,Sample inspection reported at Newport,Mechanical,0,Sample Repair Site 11,1,AO,2025-12-02,2025-12-02,0,2025-12-02,Returned,1,FV100174
SA21FDL,Stoke,Hi-Cube,2025-12-01,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Stoke,Mechanical,1,Sample Repair Site 5,1,AO,2025-12-06,2025-12-13,2,2025-12-13,Returned,12,
SA19JZM,Heywood,Tractor Unit,2025-12-02,Vehicle Damage - Crew Recharge,Cosmetic Damage,Sample cosmetic damage reported at Heywood,Body,0,Sample Repair Site 9,1,AO,2025-12-06,2025-12-07,1,2025-12-07,Returned,5,
SA24MKF,Potters-Bar,Tractor Unit,2025-12-02,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Potters-Bar,Mechanical,0,Sample Repair Site 9,1,Fraikin,2025-12-04,2025-12-04,0,2025-12-04,Returned,2,
SA24LJM,Luton,Conventional Trailer,2025-12-03,Non-Scheduled Maintenance,Floor failure,Sample floor failure reported at Luton,Body,0,Sample Repair Site 9,0,AO,2025-12-08,2025-12-09,1,2025-12-09,Returned,6,FV100508
SA22SNJ,Spennymoor,Hi-Cube,2025-12-03,Non-Scheduled Maintenance,Tail Lift,Sample tail lift reported at Spennymoor,Mechanical,1,Sample Repair Site 9,1,Fraikin,2025-12-09,2025-12-09,0,2025-12-07,Returned,4,
SA25NUR,Luton,18 Tonne,2025-12-04,Legal Maintenance,Inspection,Sample inspection reported at Luton,Mechanical,1,Sample Repair Site 8,1,AO,2025-12-05,2025-12-05,0,2025-12-05,Returned,1,
SA21PEF,Fareham,18 Tonne,2025-12-04,Vehicle Damage - Crew Recharge,Door Damage,Sample door damage reported at Fareham,Body,0,Sample Repair Site 11,1,Fraikin,2025-12-09,2025-12-09,0,2025-12-09,Returned,5,
SA21PAJ,Crossgreen,18 Tonne,2025-12-05,Non-Scheduled Maintenance,Rear door failure,Sample rear door failure reported at Crossgreen,Body,1,Sample Repair Site 4,1,Fraikin,2025-12-09,2025-12-18,2,2025-12-18,Returned,13,
SA23CNL,Spennymoor,Tractor Unit,2025-12-05,Legal Maintenance,MOT & Service,Sample mot & service reported at Spennymoor,Mechanical,0,Sample Repair Site 1,1,AO,2025-12-07,2025-12-07,0,2025-12-06,Returned,1,FV100596
SA22FUD,Yaxley,18 Tonne,2025-12-08,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Yaxley,Mechanical,1,Sample Repair Site 2,1,AO,2025-12-10,2025-12-10,0,2025-12-10,Returned,2,
SA22GUP,Basildon,DD Trailer,2025-12-08,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Basildon,Mechanical,0,Sample Repair Site 7,1,AO,2025-12-14,2025-12-17,1,2025-12-17,Returned,9,
SA22OTU,Potters-Bar,3.5 Tonne,2025-12-08,Non-Scheduled Maintenance,Shutter Door,Sample shutter door reported at Potters-Bar,Body,0,Sample Repair Site 4,0,Fraikin,2025-12-12,2025-12-14,1,2025-12-14,Returned,6,
SA25EPB,Yaxley,Tractor Unit,2025-12-09,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Yaxley,Mechanical,1,Sample Repair Site 2,1,Fraikin,2025-12-18,2025-12-19,1,2025-12-19,Returned,10,
SA22GFJ,Heywood,Tractor Unit,2025-12-09,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Heywood,Mechanical,0,Sample Repair Site 2,1,AO,2025-12-15,2025-12-15,0,2025-12-14,Returned,5,FV100829
SA21ECC,Outside HDV Network,Conventional Trailer,2025-12-10,Legal Maintenance,Inspection,Sample inspection reported at Outside HDV Network,Mechanical,1,Sample Repair Site 10,1,Third Party,2025-12-11,2025-12-11,0,2025-12-11,Returned,1,
SA23BPS,Crossgreen,Tractor Unit,2025-12-10,Non-Scheduled Maintenance,Gearbox,Sample gearbox reported at Crossgreen,Mechanical,0,Sample Repair Site 4,1,Fraikin,2025-12-27,2026-01-02,1,2026-01-02,Returned,23,
SA21HXJ,Heywood,Tractor Unit,2025-12-11,Legal Maintenance,Service Only,Sample service only reported at Heywood,Mechanical,0,Sample Repair Site 8,0,Fraikin,2025-12-12,2025-12-12,0,2025-12-12,Returned,1,
SA25SMM,Stoke,18 Tonne,2025-12-11,Non-Scheduled Maintenance,Fluid Leak,Sample fluid leak reported at Stoke,Mechanical,1,Sample Repair Site 9,1,AO,2025-12-16,2025-12-19,1,2025-12-19,Returned,8,
SA24AMN,Exeter,3.5 Tonne,2025-12-12,Legal Maintenance,Service Only,Sample service only reported at Exeter,Mechanical,0,Sample Repair Site 8,1,Fraikin,2025-12-13,2025-12-13,0,2025-12-13,Returned,1,
